	distance	height	weight	role	hot	age	description	name	mate	online_state
633	1.95	178	70	0.5	34	25		男人的世界1314520		0
634	1.96	178	71	1	73	53	头像本人。欢迎35岁以下的0来聊。无照不聊，谢谢	大叔w	1	1
635	1.97	166	66	-1	122	40	我不是我	shisanyue	1	1
636	1.98	170	70	0	119	26		小误		1
637	1.98	178	63	0.5	35	27	正装皮鞋丝袜男，偶尔皮革一身的，体力类型如同名字，想要满足的速来报道！	特攻极受	1	2
638	1.98	175	77	1	27	29		内有猛攻小心被艹	1	1
639	1.99	173	58	1	477	22	慈善的心，这个软件上没有真诚的聊聊天吧，	xcx520	2	1
640	1.99	167	58	0.5	37	17	此软件已删，有事加QQ：1476593028	Martin杰	2	0
641	1.99	171	58	-1	323	20	"裹着你的黑外套
渴望着你的拥抱
任你气味把我绕
这样恍恍惚惚到天亮

wechat 252129504
美瞳爱好者 挑瞳师 好吃嘴
有对象🙃"	outmanbiubiubiu	1	1
642	1.99	173	60	1	293	25	只想遇到对的人，懂我的人，好好在一起！	彼此1靠		0
643	1.99	175	58	-1	83	26	愿得一心人  白首不相离	黑胡椒kkhy	2	1
644	2.0	185	61	-1	66	19	"忽然之间，天昏地暗。

不约！不约！不约！"	一屋二人-三餐四季	2	1
645	2.0	171	60	-1	85	26	真诚一点，傲娇的滚。小鸡🐔勿扰。	直走抵拢倒拐		1
646	2.0	172	50	-1	127	21	防河蟹	idiot1122	4	1
647	2.0	170	58	1	132	25		阿拉神丁经	2	0
648	2.01	175	66	0.5	335	20	情感需求茂盛	dwcinm	1	2
649	2.01	175	55	0.5	21	18	希望大家多多关注哈😊么么哒😊	Dominick么么哒		2
650	2.02	172	58	-1	45	23		悠悠酷	1	1
651	2.02	170	60	0	45	22	等待、踏實、穩定、真心、過日子…………………………I miss you ,I don't miss you	阿濤哥	2	1
652	2.02	178	63	0	16	20	要来就来。别墨迹	三生过	1	1
653	2.03	176	70	-1	268	29	没什么好说的	嘻嘻哈哈1688	1	2
654	2.03	173	56	0.5	20	20	已有男友，不勾搭，聊天随便。	傻瓜ye	2	0
655	2.03	170	55	0.5	19	20	已有我的唯一，不勾搭，只聊天！	zbwy	4	0
656	2.03	175	55	0.5	2	19	这是一种无可奈何的表白	黑a白	1	1
657	2.03	180	65	1	1863	27	吸引是开始，懂一个人需要很长时间。	走马行酒礼	1	1
658	2.03	160	52	0.5	70	24	已有男友  不约	小呆Peter	4	1
659	2.03	175	60	-1	51	18	"    👦  处女男 喜欢诗和远方

     👉 找对象 别的不要 对味就好

    ❌  约炮勿扰 不感兴趣

    ☀  暖男一枚 不分攻受 你开心那就好

    🙅  拒绝皂片 可以面基

    🎵与我私奔 还与我做不二臣"	翔太浓	1	1
660	2.04	170	55	0.5	35	29	没照片就不要打招呼。本人喜欢健身	成他客居	3	1
661	2.04	161	55	0	58	22		Tower123		2
662	2.05	170	58	0	38	19		hahahasha		1
663	2.05	173	54	1	82	18	"丑拒！

非拒！

很冷   不会说人话！

"	霸王的鷄	2	1
664	2.05	178	78	0.5	20	48		内蒙白马		1
665	2.05	173	53	0.5	3	18	我没有什么好说的	不忘-本心	2	1
666	2.05	183	67	0.5	365	24	他不懂	他不懂你懂吗	1	1
667	2.05	172	52	-1	55	23	不再主动追寻爱，淡然处之、波澜不惊。得之我幸、失之我命...	思念苦无药无处可逃	2	0
668	2.05	166	46	0.5	74	20	约个人都那么难	钙钙钙钙	1	1
669	2.06	165	63	1	234	33	千夫所指，谁理登不凳对，仍挽手历尽在世间兴衰！	子航1104	1	1
670	2.06	181	61	-1	13	25	来了就关注一下，动动手指而已。	不知abc	2	1
671	2.06	175	65	0.5	43	21	"bf招聘
性别：男
身高：低于172的不要say hello了
不喜欢最萌身高差 靴靴
三观：正，无直男癌【不然会把我逼回直男的】
要求：不娘、不胖、不丑就ok

李先生 短发
身高：看上面👆🏻
颜值：不影响市容
三观：正，无直男癌，洁癖患者，不能接受脏乱差的，不娘，不胖，好歹也看起来是直男的好吗？不要再问了

目前是尚在苟且得学生党，很上进，阳光boy，一直在努力把自己变好
爱好：吃、夜跑、健身
将来有何规划：不出意外落户成都，所以希望能找个有共同言语的人，当然对方必须是有工作的而不是要我养他的，靴靴"	李sir就是我	2	1
672	2.06	175	75	0.5	312	37	宁缺毋滥…交长久的朋友	阳光味	1	1
673	2.07	178	65	-1	3	23		蝈蝈棒	3	2
674	2.07	175	57	1	3	20	"．

．

．弯成一个圈"	飓識925	1	1
675	2.07	175	65	0	256	27	      在最美的年华遇见你……	住在谁心底	1	1
676	2.07	180	63	-1	34	22	当别人忽略你时，不要伤心，每个人都有自己的生活，谁都不可能一直陪你。当你看到别人在笑，不要以为世界上只有你一个人伤心，其实别人只是比你会掩饰。	渔火---	2	2
677	2.07	165	64	0.5	13	28		只觉你的好	1	2
678	2.07	172	54	1	50	20	及时行乐	s-boedry	1	2
679	2.07	173	63	0.5	13	27	你把我灌醉，却不陪我睡。	奇怪了颠来倒去	1	1
680	2.07	170	70	1	24	30		好想多休息会	1	1
681	2.07	170	65	1	120	28	不作死就不会死	乔巴兄弟	1	1
682	2.07	175	65	0.5	16	17		louisdonson	3	1
683	2.07	160	48	-1	23	21		洋蓝色	1	2
684	2.08	177	61	0.5	3	20	我是双性恋，不会和同志结婚。	放肆骚动的青春	1	1
685	2.08	170	53	0.5	85	21	寂寂长夜，色欲熏心。逃之越切，迷之越深…＃	梦里诗书	1	1
686	2.08	220	30	-1	43	19	只是来交朋友的。不那个。	plant886	1	1
687	2.08	172	62	-1	28	24	三观正基佬，来这儿大海捞针。	Ruminating	2	1
688	2.08	176	56	-1	280	19	🌑	Silan	1	1
689	2.09	173	52	1	24	22	"约个蛋，心若有我，勿需寻。(约炮的奏凯)

求人陪玩，陪聊天，要个gay密。

主玩皮尔特沃夫  ID:孟婆丨来杯优乐美。影流，黑色卡拉，钢铁，班德尔，都是满级也在玩，不是那个id(大神可怜我😭)
"	强强小湿兄	2	0
690	2.09	170	53	0	15	19	害怕寂寞又喜欢一个人呆着	鱼yv	1	1
691	2.09	168	58	-1	9	36	如果你喜欢就来找我	怎么开口说爱你	1	1
692	2.09	170	55	1	160	27	买手机找我，优惠多多，惊喜多多，有没有按电信宽带的也可以联系我哦！	戚森	1	1
693	2.09	170	50	-1	161	18	"能陪我走过余生，

那该有多幸运。"	少不经事丶	2	1
694	2.09	170	55	0.5	42	29	哈哈，人生不过如此！	无心国师	2	1
695	2.09	178	65	1	411	28	...	扯蛋青春		1
696	2.09	181	67	0.5	261	24	不管经过多久，那个人终会出现，这是最好的执念，我也将在等待中成就最好的自己。	liumangtu		1
697	2.09	177	74	0.5	9	31	两天没消息，莫名的有点难受。	苍树		1
698	2.09	170	51	-1	30	21	      勾搭需谨慎！老的，胖的勿扰！谢谢！！	Love厶Song	1	1
699	2.1	171	60	0	364	27		旺旺2014	1	1
700	2.1	163	50	0	3	19		胖冬瓜狗屎蛋子	2	1
701	2.11	172	67	-1	10	24	照片本人，别在找我要照，只结交有共同爱好的基友，有男朋友，不约炮。。。	Lemon---Tree	4	1
702	2.11	172	55	1	186	24	果然是别人的腹肌好看些	伏天儿	1	1
703	2.11	170	62	0	82	28	翘臂健身0寻大1,合适加微信1044296473	午夜游子		0
704	2.11	176	58	-1	26	18	"     聊聊天
  
 不约不约不约"	piytbsmdndk	1	1
705	2.11	175	54	0.5	59	28	来只熊把我收了吧  	Tobey119	2	1
706	2.11	180	58	1	5	21	不约！！	劳资脾气不好		1
707	2.12	170	65	-1	11	22	拥有艾滋的男人👨	李浪与狗	2	2
708	2.12	175	57	0	19	30	不想刻意的去追寻，往前看，幸福就在前方！	故乡美		1
709	2.13	170	56	1	61	20	珍爱自己，我不做1也不做0，请那些脑残1们都，不要发你好这类脑残的话。珍爱自己	我爱你memeda	1	1
710	2.13	170	65	0.5	8	27		降魔降魔		1
711	2.13	172	60	-1	41	26	希望来个不10，能做一辈子得好朋友。不谈恋爱，不要一来就要照片，反感	酸奶爱	1	1
712	2.13	175	60	1	118	25		jmmoxxxooo		1
713	2.13	170	56	1	471	25	"再不疯狂我们就老了！错过的你，就不会再有
我不高，但我喜欢比我高的。。。那又怎样！
我只是一个有点儿文艺气息的纯1"	天堂代理人		1
714	2.13	187	80	1	4	24	"曾经化作云烟，便再也不会相信任何！
曾愿～
择一城终老，遇一人白首。挽一帘幽梦，许一世倾城。写一字决别，言一梦长眠。我倾尽一生，囚你无期。 
择一人深爱，等一人终老。痴一人情深，留一世繁华。断一根琴弦，歌一曲离别。我背弃一切，共度朝夕。
                      ——冯骥才《择一城终老，遇一人》
而今～
我只想一个人，我只愿一个人，做我那些看似洒脱的梦，无关风花雪月……
我要的是平平淡淡，柴米油盐，俩个人相扶一辈子，但这个圈子永远不会有……
爱情和幸福是太过奢侈的，我放弃……
勿撩，谢谢！"	彼岸緣罒奈何	2	1
715	2.14	172	65	1	125	34	用一秒钟遇见你；用一分钟认识你；用一小时了解你；用一天来爱上你；用一生一世呵护你！人和人相遇靠的是缘分，我和你相处靠的是真诚，你和我在一起学会的是包容。所以爱我就应该包容我的一切包括我的脾气、任性、我也会学会体贴、理解。本人喜欢中年有气质时尚的大叔35/70岁不是勿扰谢谢看清楚打招呼还有想和我聊天就必须发照片否则免谈（看清楚）	寻找幸福的家	2	1
716	2.14	170	61	-1	68	20	"
没有永远，只有此时此刻。"	灰太狼之子	2	1
717	2.14	178	65	-1	51	25	找中年	环行游戏	1	1
718	2.14	170	60	0.5	42	42	兄弟都可以一起开心.	祝军	1	2
719	2.14	175	65	1	433	27	喜欢小乖乖 瘦瘦的	霓虹国之梦		1
720	2.14	173	52	0.5	210	19	"我多想找到你 轻捧你的脸
我会张开我双手 抚摸你的背
请让我拥有你 失去的时间
在你流泪之前 保管你的泪。"	就是不想取昵称	2	1
721	2.15	170	69	-1	286	53	现在有太多人，你跟他说真话，他以为你说假话；你跟他说假话，他以为你说笑话；你跟他说笑话，他竟然当真了…有时候做人真的不能太善良与真诚，遇到不同的人要用不同的方式去对待。谁都不是谁的谁，所以不喜欢去巴结，讨好任何人。不要问我找什么，我说我找什么你能给吗？我上软件更多的是欣赏自己觉得好看的人和别人些写的动态，也会点赞。不管找什么都要缘分和在现实中见面，接触才懂得合不合适。有缘，该发生的始终会发生，无缘，强求不了。没有经历过别人的人生，所以最好不要去意淫别人的生活。 不要看贫富交朋友，他有亿万家财跟你一毛钱关系都	老实人上来看看	1	2
722	2.15	173	54	0	12	21	追追追	似桃七		1
723	2.15	170	60	1	25	80	我们所知道的生活	鱼冑	2	1
724	2.16	175	60	-1	516	21	突然好想過聖誕節喔。	公子饕	2	1
725	2.16	175	61	-1	58	20	"只是不信任
己所不欲勿施于人"	Atomg	2	1
726	2.16	201	59	-1	106	80	。	宗介介	1	1
727	2.16	165	45	-1	88	22	唉，没得意思的	我是丑八怪555	2	1
728	2.16	170	65	-1	109	50		法功	1	1
729	2.16	170	60	0	38	24	"找老公。求带走！喜欢我就添加关注我！
丑，老，胖，勿扰，谢谢！"	伟可先森	2	1
730	2.16	180	75	-1	629	28	找到一个合适的BF，一起卸载软件……	请叫我哲哥	2	2
731	2.16	173	63	-1	29	23	无法深情挽着你的手	思念越尝越苦		1
732	2.16	178	72	0.5	6	19	。	EddyLee		1
733	2.17	170	55	0	28	18	没有什么可以让我气馁 因为我有着长长的一生 而你 一定会来	浩浩浩浩浩然	4	1
734	2.17	170	85	0.5	14	24	喜熊，约〜	熊熊乐乐乐		1
735	2.17	165	50	0.5	43	23	找一个爱我的人，一起过。。。	不想的爱	2	1
736	2.17	166	50	-1	100	22	"

请有些人自觉点 离开我的视线 找一个适合自己的男友"	Worth小骚年	2	1
737	2.17	175	62	-1	2	18		独木舟没了你	1	1
738	2.17	170	65	-1	127	29	让时间说真话，虽然我也害怕	阿-怪	2	2
739	2.17	170	65	1	2	41		交子一	1	1
740	2.18	165	52	0	78	38	格式已错，从心输入。Gay	寐梦	2	1
741	2.18	172	61	-1	2681	24	"                                  不约

                                  心随我动。
                                  你是过客。
                                  春风如你。

                         每个人都有他的脾气🍂
                           轰轰烈烈不如平静🍂

微博:心随我动right"	心随我动right	1	1
742	2.18	175	74	0.5	220	42		叔很帅	1	1
743	2.18	170	64	1	96	27	喜成熟中老年。	浮云也	1	2
744	2.18	160	54	1	10	18	大写的腐女一枚🐭🔫👗	CarolCurtis	1	1
745	2.18	167	55	-1	109	24	"心所想，去到达；心有美景，即刻出发！
不忘初心；方得始终"	命里探源	2	2
746	2.18	171	62	0.5	130	28	我们一起交朋友哈！	蒲东东		1
747	2.18	181	76	1	37	26	 我是路过打酱油的，  请勿关注谢谢。祝一切顺利  。不骄不躁不卑不亢，自我认知中-	nonstone	2	1
748	2.19	168	51	0.5	69	36		玖瑰之旅	1	1
749	2.19	165	64	0	18	26		无赖的无奈		1
750	2.19	175	72	0.5	9	24		焖煜	2	2
751	2.19	176	60	1	64	20		漂亮又落拓	4	0
752	2.19	167	88	1	194	46	有喜欢打麻将的朋友可以找我	熊影不懂爱1	2	1
753	2.2	166	80	-1	43	45	今晚失眠了	老实的熊大	1	1
754	2.2	175	65	0	153	18	不知道说什么！反正交个朋友吧！😊   不约🤗	TaNGzX	2	1
755	2.2	168	80	-1	6	27	石头树	BAICUI	1	1
756	2.21	165	65	0.5	0	25		额额额add		1
757	2.21	174	80	-1	2	19	  黄沙百战，定破楼兰。	卡卡卡卡斯特	1	0
758	2.21	178	60	1	60	36	无	Singleethn		2
759	2.21	170	54	-1	2	21		我只是来打望哈		0
760	2.21	198	90	1	324	20	"身高是真的哈
求附近的人介绍个工作嘻嘻
哎真的过不下去
太穷需要金主哈哈哈
王家卫叫他的演员翻译我爱你
一个演员说到 I love you
他说怎么可以翻译成这样
应该是
我已经很久没有坐过摩托车了
也很久没有试过这么接近一个人了
虽然我知道这条路不一定会很长
可是这一刻
我觉得好暧昧
（成都人 南充师大读书 
OW天梯60分 
要玩的可以一起排
我跟你聊个job
有点s倾向"	宝批龙丶	4	1
761	2.21	168	52	0.5	131	29	找个人一起，天涯海角到处走，虽没有什么钱，但是能生活，打算再过一年就不上班了，人生苦短，何必挣那么多呢，年龄28至35	西里九	1	1
762	2.21	177	66	-1	120	26		seven1314520	1	1
763	2.21	177	65	1	17	31	不喜欢胖的，愿意的交朋友的找我	156啊啊啊啊啊啊啊	1	1
764	2.22	170	67	1	100	25	我喜欢简单直接但不约，不约，不约……就简单的交朋友……	陈小小小伟	1	1
765	2.22	166	64	-1	12	30	我若在你心上！负了天下又何妨。	心欲王子	1	2
766	2.23	172	56	-1	109	24		好多傻逼嗦	1	1
767	2.23	166	96	0.5	49	58	 打望，本人年轻人！正装中年可随便勾搭，无抵抗力！	打哑谜		1
768	2.23	165	60	-1	0	29		ksyfabix	1	1
769	2.24	168	58	-1	145	31	本人有口音歧视，你说话口音方言太重不喜欢	抬抬头	1	1
770	2.25	170	55	-1	51	20	防艾从我做起，不约不约不约！！！重要的事情说三遍…闭关修炼中，请勿打扰	戒不掉你的傻笑or	2	1
771	2.25	172	60	-1	22	28	转过头 对旧心酸一笑而过…	尔陈		1
772	2.26	178	65	0	59	26	不喜欢身高比我低的 喜欢运动型男 无照 女气 名媛勿扰！	ggddyy		0
773	2.26	176	75	1	791	36	"
交志同道合的朋友。宁缺毋滥，喜欢有事业心的朋友，喜欢旅游加我。
找兼职伙伴，在家可以创业，边玩边工作的朋友。"	壮爷门	1	1
774	2.26	170	58	0	27	22	"(暂时不上线，交友加WX:asas707  闲聊的滚开！)

喜欢DaDiao

娘炮和胖子勿扰！

备考中

摄影/健身/佛学/看书

卸了😊😊😊 

"	戒为良药k	1	1
775	2.26	175	70	1	17	27	不约！养猫的  或者想要买猫的可以加微信	呀不瑟哟	2	1
776	2.26	171	56	-1	294	27	别老想着“以后还来得及”，有一天你会发现，有些人，有些事，真的会来不及。	遗忘中		1
777	2.26	170	55	0	53	26	生活就是生下来活下去	心问	2	2
778	2.27	177	90	1	37	30		那时花开瞬时谢		2
779	2.27	175	58	-1	2	19	不约。不发照片。	狗贷		1
780	2.27	163	75	0.5	838	30	玻璃的心，易碎！肥胖的身，易醉.胖子的世界你莫去伤、他伤不起！感情的事，你要且行且珍惜没有什么可看可玩的。yaoyo	吃小米辣喝白开水	2	2
781	2.27	178	55	1	3687	18	你要聊天，基本的社交礼仪必须有吧？没照片上来还BBB问我一大串不发自己照片的你还是滚吧，我聊半天我都不知道聊天的对象是人是狗有什么意义？还有约炮的也滚远点，你不怕有病老子害怕。再者，我是不是学生收入怎么样关你屁事，老子又没喊你养我管球的多。上来就说找男朋友的我问候你全家，大街上那么多，你骚痒也好，空虚也好随便去拖一个就是，我不相信一见钟情也不相信日久生情。聊天仅限朋友做起，后续如何结果如何全看你的本事和我的造化。微博id:邹牧昊i	邹牧昊	2	1
782	2.28	180	65	-1	3	19		乾坤KKK		0
783	2.28	162	60	1	8	20		取名字真难12336	1	0
784	2.28	175	74	-1	15	20	"那有为什么
只有我太丑
没有太多偶然
只是想泡你
你说你不好
但是他还是喜欢
我就想知道
他到底能弄多长
单身可撩"	L2M3	2	0
785	2.28	188	93	0	93	22	上来偶尔看看直播，聊聊天什么的:)	OHHHHHHHO	2	1
786	2.28	172	65	1	123	34	找闺密	斌ggg	1	1
787	2.28	170	52	1	173	18	希望你能够让我奋不顾身。	yaazpl	1	1
788	2.29	170	49	0.5	337	19	我选择青春，放弃你	oooooopq	2	1
789	2.29	175	70	0.5	26	21		大爷很二	1	1
790	2.29	172	65	0.5	189	24	"      爱情从来不是一个人的事情、
      感情长久也不是一个人说长久就长久、
      不再奢望
      只求缘分"	M丶嗷	1	1
791	2.29	178	74	1	114	39		感觉你的爱		1
792	2.29	171	53	1	7	21	喜欢的人就在斜对门，一年了。	斑马斑马8	1	1
793	2.29	180	68	-1	105	23	"不约。
22～30
可以暂时不优秀，但你不能不上进。
LOL"	Ryanzzz丶	2	1
794	2.29	175	70	0.5	458	24	只是单纯的正装控一枚	Angus丶L		1
795	2.29	167	48	0.5	124	22	我真的被某些人恶心到了...	夏夏末	2	1
796	2.29	176	64	0	8	19	我的QQ3377263249	刀帕章		1
797	2.29	176	65	-1	113	22	               🙈🙈🙈	FreedomAndLoneline	2	1
798	2.29	170	52	0.5	74	20	欢迎勾搭，有缘继续……	彼岸罂粟谣	1	2
799	2.3	175	85	0.5	176	33	4l9的走开，一来就喊发照片，自己又不发的人到底是什么心态？我只找成熟中年，年龄比我小的就不要来了。谢谢！	努力变瘦下来	2	1
800	2.3	175	63	-1	217	20	也许认识某一人，过着平凡的日子	小小小小腊肉	2	1
801	2.3	171	61	-1	77	37	善待他人就是善待自己.不要觉得自己比别人好，比别人帅，比别人有模样，脱了那层皮，你一样只是个人！喜欢大叔的加聊	无痕岁月	1	1
802	2.3	177	70	0.5	108	19	"   嘘

  喜欢熊"	Fury宝批龙	1	1
803	2.3	177	62	0.5	334	21	常常责怪自己，当初不应该，常常后悔没能把你留下来。这些年过的不好不坏，只是知道少了一个人存在。当懂的珍惜以后归来，却不知道那份爱会不会还在。等待稳定长久的爱情，非诚勿扰。Waiting For You❤️	W-For-You		1
804	2.3	170	62	0.5	64	31	喜欢健身，唱歌（可以去听听我的录歌，加Q547293148）。有病、乱的、嗨药的请绕道	tagg	2	1
805	2.3	173	67	0	325	34	"猴子和30以下的就别老嗨了。
不要动不动就嗨别人。
本人最不喜欢猴子，也不喜欢年龄低于30的。"	男人之累	1	1
806	2.3	162	45	0	0	19	"Instagarm :  cyrus_sk2
Facebook  : T'Toud Solaphom
Line ID : ......
微信 ：......
🇱🇦•—
🇨🇷—•
🇨🇳•—
เป็นมิตรกับทุกคน555😘"	Little_more	1	1
807	2.3	180	62	-1	194	20	不醉不会💥	TTTing	2	1
808	2.3	174	65	0	45	33	无聊至极	Jingcen		0
809	2.31	181	70	1	198	22	"哈哈

广交朋友，不处对象，阳光开朗，说说笑笑。  

声音爱好者（有个自己的荔枝电台） 也逗   卖的了萌，装的起男神    

简单快乐"	Touchhhhhhhh		1
810	2.31	133	92	1	86	21	渐渐喜欢上你，却说不出口。	bghvcxd		1
811	2.31	180	61	0	10	19		fhjcs1122334	1	0
812	2.31	173	60	1	8	21	欢迎，看得了，不嫌弃我，怎样都可以……主动了，机会就大大的！我也是真诚的，为我爱的人	又是一场梦	2	1
813	2.31	172	59	1	71	21	等你来看我……我不撩人，不过起码一点，聊天该有照吧，要不然我怎么你是什么……	不太丑	2	1
814	2.31	170	65	0.5	3	22		2077A		1
815	2.31	160	45	0	38	23	爱这东西本就没道理。	小苹锅		1
816	2.31	174	64	1	1305	24	"Blued 群：298449。                  
做更好的自己
遇见让我喜欢的你。"	再见二丁目zrm	1	1
817	2.31	160	60	-1	24	22	"Yesterday's excuses expired when you opened your eyes this morning. Today，just do it! 

当你早上睁开双眼，昨天所有的借口都已消失.
                                        
                             
                                             ———致自己"	独野	1	1
818	2.31	172	65	-1	38	31	本人照	可以得	1	1
819	2.31	176	62	-1	134	24	不约	老男孩哭泣	1	1
820	2.31	180	65	0	750	27	"· 愿有岁月可回首，且以深情共白头。

· 山东人 | 居成都 | 🕴
· 博士生 | 天秤座 | 👓
· 文艺风 | 爱狗族 | 🛀
· 爱电影 | 爱旅行 | 🍷

· 寻他 | 淡雅风趣 | 至真至善 | 👣

· 谢谢关注 | 谢谢点赞 | 择粉 | 🔚"	酸奶KO	2	1
821	2.32	185	80	1	20	29	想你	月亮惹的祸啊	1	1
822	2.32	170	62	-1	214	35	QQ：342646551	g拒绝诱惑	1	1
823	2.32	170	58	-1	571	19	你长得好看我又没说要泡你	好好儿的说话	2	0
824	2.32	178	60	-1	98	22	转角处的回眸，是否还会遇见曾经的你	回眸你在否	1	0
825	2.32	178	80	1	2891	21	在这里，驻守、等待，一起相伴～	Richard瑞	2	1
826	2.32	178	70	-1	4	27	不健康的请放过我	信仰生光	1	1
827	2.32	185	67	1	239	20	一次就好	语过添情s	2	1
828	2.32	178	56	0	134	19	"        

            

                                          ღ          

      成都理工大学在读生  核工程 机械系
      lol  守望 炉石 龙之谷 可约游戏🙋
      擅长聊天 不擅长主动聊天 ❌"	Chengr		0
829	2.33	175	56	0.5	65	26	"不约炮，不聊骚。

若你不出现，我也不是完整的我。

不想谈恋爱了，觉得很累。约炮别找我，我怕得病。

长大以后我们懂得在感情里止损，我们明白付出和得到通常不成正比，也明白命里无时莫强求。

试图做个真实的人，不虚假。"	NX792	2	2
830	2.33	171	58	-1	4	25	有多远滚多远！	脾气坏透了	2	1
831	2.33	180	73	0.5	70	28	一个人走的很快，但两个人才能走的更远。	剧情乏味	2	1
832	2.33	171	58	-1	18	25	六九，或者一起睡觉😅😅	与西瓜牵手的南瓜		1
833	2.33	173	62	0.5	82	21	z	atsfgjvcc	2	1
834	2.34	173	82	1	26	40		站着生		1
835	2.34	178	64	-1	1	22		不良好人		0
836	2.34	178	70	0.5	4	21		--AJ-		1
837	2.34	170	65	-1	0	22		我想你你想我想你	1	0
838	2.34	174	80	1	105	52		秋风1964		1
839	2.34	178	90	1	18	21	"浪熊想运动运动～浪浪浪
经典运动最喜爱～
骚🐶来女又，爷更欢"	猛熊95	1	1
840	2.34	178	58	-1	56	21		DB小王爷	1	1
841	2.34	170	50	-1	364	20	"     亦觉得灯火阑珊是荒芜
         班德尔城"	LWZfaeded		1
842	2.34	175	65	-1	58	32	能否有点思维正常的人 要照之前请自行先发	豁哟	1	1
843	2.35	161	52	-1	6	20		男孩158	2	1
844	2.35	170	60	-1	38	22	你知道我喜欢你吗	心中有小激动	1	1
845	2.35	175	57	0.5	89	26	0.5偏0，，偏瘦，正努力锻炼。希望找个男朋友，要求比我高和壮，有稳定工作，稳重有责任心。	晚仙	1	1
846	2.35	170	65	1	0	31		做人真诚就好	1	1
847	2.36	171	58	-1	12	26	充当某种角色的能力，在我看来你不乖！	简直取不出来好听的名	2	1
848	2.36	174	57	-1	316	21	🙊没空	troyebody		1
849	2.36	165	56	0	2	29	我找长期的，不结婚我	上官雪儿	1	1
850	2.36	170	60	0	155	25	"现实总是很残酷，你喜欢的人也许并不喜欢你，相互喜欢的两个人也可能被压力拆散。只盼能遇到一起走下去的那个人，不要再经历爱了又痛的过程
事业单位打工仔一枚，工作生活稳定，养了一只小金毛（单亲爸爸啊），已和父母说明不会结婚。希望能遇到一个合适的人，能够一直在一起，每天下班回家做饭，洗碗，遛狗，洗洗睡吧🤔"	翻滚吧单身君	2	1
851	2.36	173	61	0	53	37		壹七陆零	1	0
852	2.36	170	60	0.5	53	24	"我们就要这样一直幸福下去！相信爱情，爱情才会靠近你。
"	ll如果遇见你	2	1
853	2.36	172	70	0.5	10	25		感情在那	2	2
854	2.36	142	70	-1	172	21	确实不太会谈恋爱	我叫桃矢Y	1	1
855	2.37	169	53	0.5	11	22	陪伴是最长情的告白。	可鲁贝洛斯	2	1
856	2.37	172	69	0.5	5	26	卸载了，拜拜	爱一个人好难123456	1	2
857	2.37	169	73	0.5	26	49		1969快乐的山猪	1	1
858	2.37	173	63	-1	106	19	有一阵长长的时期，我悄悄地躲着，倒吞着咸咸的泪水，可是它们除了融腐我的胃以外，并没有滋润我的心灵。	-heart_	1	1
859	2.37	180	67	0.5	68	25		梦想的力量你我同在		1
860	2.37	180	62	1	204	27	找固定，互相不影响正常生活。丑的，娘的，胖的，矮的勿扰。	Mekas		1
861	2.37	170	61	0.5	289	21	mdzz	没事call我	2	1
862	2.37	182	70	0.5	255	23	"长得好的1比0还傲娇
长得丑的1都有条大JJ
长得好的0比女人还墨迹
长得丑的0都爱打粉底
长得好的0.5看着不够man
长得丑的0.5又都很随便
年纪小的1个个都秒射
年纪大的1个个硬不起
年纪小的0个个公主病
年纪大的0个个骚断腿
年纪小的0.5走肾不走心
年纪大的0.5挑来挑去
gay圈不是围城是坟地
进不来的不会想进来
进来的永远出不去
自己喜欢的不喜欢自己
喜欢自己的自己不喜欢
看脸看棍看身材
看脸看菊看腹肌
外表合适的性格不合拍
性格合适了外表不中意
就是这样
人人都在等"	男人的寂寞你不懂	1	1
863	2.37	172	54	0	70	20	"Thx q follow me 🙏🏻😊
Instagram: Cake fongkhounta
没图片不聊。
不约"	cake封昆达		1
864	2.37	174	65	1	22	22	哭的时候	记录通知我	2	1
865	2.38	170	63	-1	1	21		chandelier丶		0
866	2.38	175	60	-1	106	23	"上的到厅堂，下的到厨房。       
只想找一个能相互理解，扶持，鼓励，正能量的男朋友。
一起稳稳妥妥的过日子。
还有希望你不要骗我。   
还有希望大家都man一点，像兄弟一样过日子。
毕竟我有点痞气。但也需要被人呵护。
btm的时候居多。top比较少。"	男朋友你不要欺骗我		1
867	2.38	170	65	0.5	27	22		今天星期虎		1
868	2.39	170	65	1	36	33	没事就睡觉	shuangwaiw	1	0
869	2.39	175	75	-1	101	29	已经有朋友了，在一起2年多了，	根据努力痛苦	4	2
870	2.39	170	55	1	233	24	随缘	随风飘散的岁月		0
871	2.39	178	55	1	26	21	喜欢的，带照片来，，	yellow11111	0	1
872	2.39	172	61	-1	8	22	我有时候也想要拥有这世界上的另一种爱情	nifoast	1	1
873	2.39	166	60	1	24	33	想卖点东西个性签名都不行！郁闷	131452010	1	0
874	2.39	168	46	-1	32	18		某某某某某某某某某某	2	1
875	2.39	174	66	1	19	29		酒缸养鱼	1	1
876	2.4	174	84	1	96	41	交友！	风云彩色	0	1
877	2.4	170	60	1	13	21		mlove1		1
878	2.4	174	58	-1	59	24	无聊！	来吧动起来	1	2
879	2.4	178	75	1	98	28	及时行乐	陈姓公子哥		1
880	2.41	166	55	-1	4	29		识玄幻		1
881	2.41	174	57	-1	19	29	长得帅的果然多，能走进的有几个…	沁茗	1	2
